,Height,Weight,Sport
0,180.0,80.0,Basketball
167,185.0,72.0,Basketball
264,195.0,85.0,Basketball
346,189.0,85.0,Basketball
359,178.0,67.0,Basketball
360,178.0,67.0,Basketball
363,198.0,80.0,Basketball
364,198.0,80.0,Basketball
490,188.0,78.0,Basketball
609,202.0,104.0,Basketball
641,178.0,70.0,Basketball
642,178.0,70.0,Basketball
833,205.0,102.0,Basketball
1018,200.0,88.0,Basketball
1029,198.0,93.0,Basketball
1034,188.0,77.0,Basketball
1035,188.0,77.0,Basketball
1181,178.0,78.0,Basketball
1186,208.0,110.0,Basketball
1214,190.0,86.0,Basketball
1215,190.0,86.0,Basketball
1322,208.0,109.0,Basketball
1701,195.0,88.0,Basketball
1702,195.0,88.0,Basketball
1703,195.0,88.0,Basketball
1778,194.0,82.0,Basketball
1807,202.0,100.0,Basketball
1826,187.0,77.0,Basketball
1829,190.0,91.0,Basketball
1830,190.0,91.0,Basketball
1855,180.0,61.0,Basketball
1856,180.0,61.0,Basketball
1857,180.0,61.0,Basketball
1863,170.0,65.0,Basketball
1864,170.0,65.0,Basketball
1865,170.0,65.0,Basketball
1866,170.0,65.0,Basketball
1867,170.0,65.0,Basketball
1933,188.0,82.0,Basketball
2030,195.0,96.0,Basketball
2151,194.0,78.0,Basketball
2210,192.0,80.0,Basketball
2211,192.0,80.0,Basketball
2242,172.0,75.0,Basketball
2243,172.0,75.0,Basketball
2349,188.0,73.0,Basketball
2786,181.0,82.0,Basketball
3032,178.0,75.0,Basketball
3049,189.0,83.0,Basketball
3836,176.0,74.0,Basketball
3911,190.0,81.0,Basketball
3912,190.0,81.0,Basketball
3913,188.0,84.0,Basketball
4004,172.0,62.0,Basketball
4005,172.0,62.0,Basketball
4183,190.0,76.0,Basketball
4238,213.0,98.0,Basketball
4454,190.0,89.0,Basketball
4457,200.0,85.0,Basketball
4458,200.0,85.0,Basketball
4459,200.0,85.0,Basketball
4623,185.0,74.0,Basketball
4642,183.0,77.0,Basketball
4643,183.0,77.0,Basketball
4644,183.0,77.0,Basketball
4645,183.0,77.0,Basketball
4728,194.0,91.0,Basketball
4774,178.0,91.0,Basketball
4976,188.0,85.0,Basketball
5031,192.0,93.0,Basketball
5198,202.0,82.0,Basketball
5199,202.0,82.0,Basketball
5241,192.0,92.0,Basketball
5242,192.0,92.0,Basketball
5243,192.0,92.0,Basketball
5319,194.0,89.0,Basketball
5521,181.0,89.0,Basketball
5541,190.0,85.0,Basketball
5555,195.0,99.0,Basketball
5608,198.0,97.0,Basketball
5708,204.0,98.0,Basketball
5709,204.0,98.0,Basketball
5796,190.0,78.0,Basketball
5851,190.0,84.0,Basketball
5931,190.0,90.0,Basketball
5932,190.0,90.0,Basketball
5933,190.0,90.0,Basketball
5998,201.0,95.0,Basketball
6117,190.0,83.0,Basketball
6119,211.0,98.0,Basketball
6120,210.0,102.0,Basketball
6121,210.0,102.0,Basketball
6207,177.0,75.0,Basketball
6291,190.0,80.0,Basketball
6410,175.0,62.0,Basketball
6629,211.0,102.0,Basketball
6630,211.0,102.0,Basketball
6631,211.0,102.0,Basketball
6632,211.0,102.0,Basketball
6865,178.0,75.0,Basketball
6896,200.0,86.0,Basketball
7103,185.0,71.0,Basketball
7245,202.0,90.0,Basketball
7357,180.0,76.0,Basketball
7402,210.0,102.0,Basketball
7403,210.0,102.0,Basketball
7467,215.0,90.0,Basketball
7693,207.0,110.0,Basketball
7862,194.0,88.0,Basketball
8048,180.0,70.0,Basketball
8099,213.0,112.0,Basketball
8100,213.0,112.0,Basketball
8133,178.0,65.0,Basketball
8164,203.0,109.0,Basketball
8165,203.0,109.0,Basketball
8166,203.0,109.0,Basketball
8167,203.0,109.0,Basketball
8185,187.0,83.0,Basketball
8233,187.0,82.0,Basketball
8234,187.0,82.0,Basketball
8303,202.0,97.0,Basketball
8393,173.0,63.0,Basketball
8462,181.0,73.0,Basketball
8502,201.0,88.0,Basketball
8503,201.0,88.0,Basketball
8539,195.0,90.0,Basketball
8834,211.0,120.0,Basketball
8835,211.0,120.0,Basketball
8927,178.0,68.0,Basketball
8940,204.0,96.0,Basketball
8941,204.0,96.0,Basketball
8942,184.0,83.0,Basketball
8973,211.0,113.0,Basketball
8977,206.0,98.0,Basketball
9021,187.0,81.0,Basketball
9022,187.0,81.0,Basketball
9273,176.0,63.0,Basketball
9274,176.0,63.0,Basketball
9432,190.0,77.0,Basketball
9500,176.0,75.0,Basketball
9501,188.0,79.0,Basketball
9690,185.0,86.0,Basketball
9802,191.0,78.0,Basketball
9803,191.0,78.0,Basketball
9804,191.0,78.0,Basketball
9952,190.0,87.0,Basketball
10212,180.0,75.0,Basketball
10520,179.0,77.0,Basketball
10521,179.0,77.0,Basketball
10613,183.0,75.0,Basketball
10692,188.0,88.0,Basketball
10693,188.0,88.0,Basketball
10788,188.0,82.0,Basketball
10898,200.0,87.0,Basketball
10928,183.0,74.0,Basketball
10929,183.0,74.0,Basketball
10930,183.0,74.0,Basketball
11104,194.0,85.0,Basketball
11181,198.0,87.0,Basketball
11182,198.0,87.0,Basketball
11208,198.0,115.0,Basketball
11328,200.0,95.0,Basketball
11329,200.0,95.0,Basketball
11358,184.0,72.0,Basketball
11434,190.0,72.0,Basketball
11435,190.0,72.0,Basketball
11503,192.0,97.0,Basketball
11673,172.0,64.0,Basketball
11690,183.0,78.0,Basketball
11838,202.0,94.0,Basketball
11879,176.0,65.0,Basketball
11881,173.0,62.0,Basketball
12035,193.0,77.0,Basketball
12309,180.0,82.0,Basketball
12310,180.0,82.0,Basketball
12321,180.0,76.0,Basketball
12378,194.0,88.0,Basketball
12434,189.0,80.0,Basketball
12435,189.0,80.0,Basketball
